timeframe,n_obs,lag_k,market_y,pearson_r,pearson_p,coint_t,coint_p,coint_crit_1pct,coint_crit_5pct,coint_crit_10pct,adf_resid_stat,adf_resid_p,adf_resid_crit_1pct,adf_resid_crit_5pct,adf_resid_crit_10pct,ols_alpha,ols_beta,n_used,sample_start,sample_end,is_cointegrated_coint_p_5pct,is_cointegrated_adf_p_5pct,evidence_any_5pct
1h,500,10,KRW-BERA,-0.41207689763131444,6.449422458327351e-22,-1.9842733752985324,0.5367427138454719,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.652757340581267,0.08257609341577682,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,10016.594418843015,-4.315066873778785e-05,489,2025-08-06 00:00:00,2025-08-26 19:00:00,False,False,False
1h,500,3,KRW-DOGE,0.4974810738764671,1.2754285344427435e-32,-1.087526795407053,0.884950189594031,-3.91852234143638,-3.348402090875137,-3.052960322448504,-3.180080308742094,0.0211670523379861,-3.4437112724287253,-2.8674324209387345,-2.569908433637385,-32.8509749451614,2.1508560069598593e-06,492,2025-08-06 07:00:00,2025-08-27 02:00:00,False,True,True
1h,500,5,KRW-DOGE,0.47783489691920145,6.949417290338185e-30,-1.184873805593575,0.8618173438443302,-3.91852234143638,-3.348402090875137,-3.052960322448504,-3.1930775779540386,0.02038888913603123,-3.4437112724287253,-2.8674324209387345,-2.569908433637385,-21.264018853131347,2.0787366764964457e-06,492,2025-08-06 05:00:00,2025-08-27 00:00:00,False,True,True
1h,500,10,KRW-DOGE,0.4305674489529881,5.5212330655485534e-24,-1.0060638615458142,0.901691114902257,-3.91852234143638,-3.348402090875137,-3.052960322448504,-3.189805890791276,0.02058238926291867,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,8.284375850460492,1.8950281203082412e-06,489,2025-08-06 00:00:00,2025-08-26 19:00:00,False,True,True
1h,500,3,KRW-QTUM,-0.5998371638828044,3.510450392808818e-50,-2.306299818054614,0.3704134760867782,-3.91852234143638,-3.348402090875137,-3.052960322448504,-1.8667834247984594,0.3478448873949191,-3.4439333076538854,-2.8675301216074414,-2.56996050355167,17951.163752280154,-9.157771977457731e-05,484,2025-08-06 07:00:00,2025-08-27 02:00:00,False,False,False
1h,500,5,KRW-QTUM,-0.5933729409852393,7.000196007423041e-49,-2.380819700387375,0.3339922132303822,-3.91852234143638,-3.348402090875137,-3.052960322448504,-1.9826033453681116,0.2942526300234797,-3.4440184853599876,-2.867567599912013,-2.5699804779975883,17884.189874692347,-9.115301438454538e-05,481,2025-08-06 05:00:00,2025-08-27 00:00:00,False,False,False
1h,500,10,KRW-QTUM,-0.5765023873820656,1.26599712170161e-45,-2.5062531415127953,0.27631818374018496,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.310109031296166,0.16872833350074168,-3.4435228622952065,-2.867349510566146,-2.569864247011056,17636.153177402055,-8.959778172484313e-05,499,2025-08-06 00:00:00,2025-08-26 19:00:00,False,False,False
1h,500,3,KRW-CBK,0.24509071926408854,2.8311192849546682e-08,-1.759315858801258,0.6492650311524228,-3.91852234143638,-3.348402090875137,-3.052960322448504,-3.0948169127479415,0.026939145529052085,-3.443849184997939,-2.8674931065091105,-2.569940776113236,465.82969530499577,2.2301339423218443e-06,487,2025-08-06 06:00:00,2025-08-27 02:00:00,False,True,True
1h,500,5,KRW-CBK,0.2317217484799267,1.6059948818069742e-07,-1.9630064114533154,0.5477460140192779,-3.91852234143638,-3.348402090875137,-3.052960322448504,-3.080494490323191,0.02803076487423502,-3.443849184997939,-2.8674931065091105,-2.569940776113236,483.4387574572611,2.1206613345252286e-06,487,2025-08-06 04:00:00,2025-08-27 00:00:00,False,True,True
1h,499,10,KRW-CBK,0.23206165322859254,1.5832973992677514e-07,-1.6804214384397647,0.6857860896007969,-3.9185669544039614,-3.3484267887614716,-3.052977433428493,-3.0604162479302635,0.029624657381048115,-3.4438771098680196,-2.867505393939065,-2.569947324764179,478.74592197790116,2.149512009287557e-06,486,2025-08-06 00:00:00,2025-08-26 19:00:00,False,True,True
